filenames,target,predict
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",Solicitor Contacts,Solicitor Contacts
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,GMC
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",NHSLA,NHSLA
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",MDU Invoices,MDU Invoices
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",NHSLA,NHSLA
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",Solicitor Contacts,Solicitor Contacts
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,GMC
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",Solicitor Contacts,Solicitor Contacts
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",MDU Invoices,MDU Invoices
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",NHSLA,NHSLA
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",MDU Invoices,MDU Invoices
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",NHSLA,NHSLA
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",Solicitor Contacts,Solicitor Contacts
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",MDU Invoices,MDU Invoices
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,GMC
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,GMC
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",MDU Invoices,MDU Invoices
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",Solicitor Contacts,Solicitor Contacts
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",MDU Invoices,MDU Invoices
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",Solicitor Contacts,Solicitor Contacts
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,GMC
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",NHSLA,NHSLA
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,NHSLA
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",MDU Invoices,MDU Invoices
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,GMC
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,GMC
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",MDU Invoices,MDU Invoices
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",NHSLA,NHSLA
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",Solicitor Contacts,Solicitor Contacts
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",NHSLA,NHSLA
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",MDU Invoices,MDU Invoices
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",Solicitor Contacts,Solicitor Contacts
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",3rd Party Expert,3rd Party Expert
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,GMC
"['C:\\ML Training Docs\\New folder\\split\\Train\\MDU Solicitor  Contacts\\2580007.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5980115.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\MDU_Invoices\\3100431.txt'
 ... 'C:\\ML Training Docs\\New folder\\split\\Train\\NHSLA\\1810040.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\5800104.txt'
 'C:\\ML Training Docs\\New folder\\split\\Train\\GMC\\9210100.txt']",GMC,GMC
